tx_hash,from,to,amount,asset,value_at_tx_time_usd,timestamp,vasp,confidence,explorer_url,risk_rule,chain,source_chain,destination_chain,continuation_status
0xbb51258c4a7e352678a69699a6c965a55e1a2c1c43d64f452b61ebacfc4744d9,0xb9623632c4e6de8b97b28b4ac928eaf62177d301,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0.00999895479787,ETH,historical price unavailable,2026-03-24T03:08:59Z,UNKNOWN,UNKNOWN,https://etherscan.io/tx/0xbb51258c4a7e352678a69699a6c965a55e1a2c1c43d64f452b61ebacfc4744d9,suspicious_flow,ETH,ETH,ETH,
0x16a1a284a9c09e00d970e7ec01f5b376d070e3bc1155a546d259cf31a9dc867f,0xb9623632c4e6de8b97b28b4ac928eaf62177d301,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0.009998912831365,ETH,historical price unavailable,2026-03-24T03:47:23Z,UNKNOWN,UNKNOWN,https://etherscan.io/tx/0x16a1a284a9c09e00d970e7ec01f5b376d070e3bc1155a546d259cf31a9dc867f,suspicious_flow,ETH,ETH,ETH,
0x03c0067583deebf6489e12b6a0a958876fb85dbf582e6d29da55b5f929b19429,0xb9623632c4e6de8b97b28b4ac928eaf62177d301,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0.009998868007999,ETH,historical price unavailable,2026-03-24T04:34:23Z,UNKNOWN,UNKNOWN,https://etherscan.io/tx/0x03c0067583deebf6489e12b6a0a958876fb85dbf582e6d29da55b5f929b19429,suspicious_flow,ETH,ETH,ETH,
0x2627d2d556b4c0eedcfd7df21540d26f9a88374a423bedbdc02d61435c8e315b,0xb9623632c4e6de8b97b28b4ac928eaf62177d301,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0.009998834627302,ETH,historical price unavailable,2026-03-24T05:12:11Z,UNKNOWN,UNKNOWN,https://etherscan.io/tx/0x2627d2d556b4c0eedcfd7df21540d26f9a88374a423bedbdc02d61435c8e315b,suspicious_flow,ETH,ETH,ETH,
0x3426950f35eeb0186439c70edcb39b4307061efd8dcdfa61afac8f1d0ec4ee54,0xb9623632c4e6de8b97b28b4ac928eaf62177d301,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0.009998934508384,ETH,historical price unavailable,2026-03-24T05:25:35Z,UNKNOWN,UNKNOWN,https://etherscan.io/tx/0x3426950f35eeb0186439c70edcb39b4307061efd8dcdfa61afac8f1d0ec4ee54,suspicious_flow,ETH,ETH,ETH,
0x0e4e98058296e75b9daf6f1359fb4341968a5e8465cf9152509eff1ce9478422,0xb9623632c4e6de8b97b28b4ac928eaf62177d301,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0.009999050427334,ETH,historical price unavailable,2026-03-24T05:48:59Z,UNKNOWN,UNKNOWN,https://etherscan.io/tx/0x0e4e98058296e75b9daf6f1359fb4341968a5e8465cf9152509eff1ce9478422,suspicious_flow,ETH,ETH,ETH,
0x4e7def13a9771c8c61c23c4dcba04bf9a3fd7d681540a3a6ec133fea0e4c31d9,0xb9623632c4e6de8b97b28b4ac928eaf62177d301,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0.009999034714693,ETH,historical price unavailable,2026-03-24T05:52:47Z,UNKNOWN,UNKNOWN,https://etherscan.io/tx/0x4e7def13a9771c8c61c23c4dcba04bf9a3fd7d681540a3a6ec133fea0e4c31d9,suspicious_flow,ETH,ETH,ETH,
0x2677d1d17565c62135fb939c2e84bfabce60c79a5e695bd2907293f33ac7aced,0xb9623632c4e6de8b97b28b4ac928eaf62177d301,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0.009999134014285,ETH,historical price unavailable,2026-03-24T05:55:47Z,UNKNOWN,UNKNOWN,https://etherscan.io/tx/0x2677d1d17565c62135fb939c2e84bfabce60c79a5e695bd2907293f33ac7aced,suspicious_flow,ETH,ETH,ETH,
0x354538df0ec30466ba03054b09ed6ad9c7e9ddf013dcd332ac7d21264c432ca2,0xb9623632c4e6de8b97b28b4ac928eaf62177d301,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0.009994546397965,ETH,historical price unavailable,2026-03-24T23:00:59Z,UNKNOWN,UNKNOWN,https://etherscan.io/tx/0x354538df0ec30466ba03054b09ed6ad9c7e9ddf013dcd332ac7d21264c432ca2,suspicious_flow,ETH,ETH,ETH,
0xde6f472502f3ede269860459273908cca3437ea587dcabf41a832b63f98b9787,0xb9623632c4e6de8b97b28b4ac928eaf62177d301,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,ETH,historical price unavailable,2026-03-24T23:00:59Z,UNKNOWN,UNKNOWN,https://etherscan.io/tx/0xde6f472502f3ede269860459273908cca3437ea587dcabf41a832b63f98b9787,unknown,ETH,ETH,ETH,
0xdeda2a4f97f5e31e6313b50f4b967ea98e30f23ad72565de78d8f3a68598ad0b,0xb9623632c4e6de8b97b28b4ac928eaf62177d301,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0.009998893035421,ETH,historical price unavailable,2026-03-24T23:08:47Z,UNKNOWN,UNKNOWN,https://etherscan.io/tx/0xdeda2a4f97f5e31e6313b50f4b967ea98e30f23ad72565de78d8f3a68598ad0b,suspicious_flow,ETH,ETH,ETH,
0xe5657592180748ed07d0bb056fe0a6d6a14618bc5c9edd20727c9b5639c2b51f,0xb9623632c4e6de8b97b28b4ac928eaf62177d301,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0.08779640485642597,ETH,historical price unavailable,2026-03-25T09:18:35Z,UNKNOWN,UNKNOWN,https://etherscan.io/tx/0xe5657592180748ed07d0bb056fe0a6d6a14618bc5c9edd20727c9b5639c2b51f,suspicious_flow,ETH,ETH,ETH,
0x3d2bd8225f79b1f3b7a2859f627810684371a3a22cf163c5a1bf7f4ec0bd3344,0xb9623632c4e6de8b97b28b4ac928eaf62177d301,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0.09999928135585,ETH,historical price unavailable,2026-03-25T09:39:11Z,UNKNOWN,UNKNOWN,https://etherscan.io/tx/0x3d2bd8225f79b1f3b7a2859f627810684371a3a22cf163c5a1bf7f4ec0bd3344,suspicious_flow,ETH,ETH,ETH,
